TableOnFileGroup	Schema Name	Table Name	Data Element	OrdinalPosition	Data Type	Max Len	Prec	Scale	Identity	NOT NULL	References	Default Value
PRIMARY	dbo	bridge_proced_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_proced_ss	procedure_key	3	int	          	10	0		NOT NULL	analysis_procedure(procedure_key)	
PRIMARY	dbo	bridge_proced_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_proced_ss	proced_code	5	varchar	12	          	          				
PRIMARY	dbo	bridge_project_site	bridge_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_project_site	project_key	2	int	          	10	0		NOT NULL	project(project_key)	
PRIMARY	dbo	bridge_project_site	site_key	3	int	          	10	0		NOT NULL	site(site_key)	
PRIMARY	dbo	bridge_project_ss	bridge_proj_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_project_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_project_ss	project_key	3	int	          	10	0		NOT NULL	project(project_key)	
PRIMARY	dbo	bridge_project_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_site_ss	bridge_site_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_site_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_site_ss	site_key	3	int	          	10	0		NOT NULL	site(site_key)	
PRIMARY	dbo	bridge_site_ss	source_system_id	4	varchar	128	          	          				
NULL	dbo	Bulk Density and Moisture	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Bulk Density and Moisture	result_source_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Bulk Density and Moisture	prep_code	3	varchar	64	          	          		NOT NULL		
NULL	dbo	Bulk Density and Moisture	db_13b	4	decimal	          	10	2				
NULL	dbo	Bulk Density and Moisture	db_od	5	decimal	          	10	2				
NULL	dbo	Bulk Density and Moisture	COLEws	6	decimal	          	11	3				
NULL	dbo	Bulk Density and Moisture	w6clod	7	decimal	          	10	1				
NULL	dbo	Bulk Density and Moisture	w10cld	8	decimal	          	10	1				
NULL	dbo	Bulk Density and Moisture	w3cld	9	decimal	          	10	1				
NULL	dbo	Bulk Density and Moisture	w15l2	10	decimal	          	10	1				
NULL	dbo	Bulk Density and Moisture	w15bfm	11	decimal	          	10	1				
NULL	dbo	Bulk Density and Moisture	adod	12	decimal	          	11	3				
NULL	dbo	Bulk Density and Moisture	wrd_ws13	13	decimal	          	11	2				
NULL	dbo	Bulk Density and Moisture	aggstb	14	decimal	          	10	0				
NULL	dbo	Bulk Density and Moisture	cec7_cly	15	decimal	          	11	2				
NULL	dbo	Bulk Density and Moisture	w15cly	16	decimal	          	11	2				
NULL	dbo	Bulk Density and Moisture	c_adod	17	decimal	          	11	3				
NULL	dbo	Bulk_Density_and_Moisture	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Bulk_Density_and_Moisture	result_source_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Bulk_Density_and_Moisture	prep_code	3	varchar	64	          	          		NOT NULL		
NULL	dbo	Bulk_Density_and_Moisture	db_13b	4	decimal	          	10	2				
NULL	dbo	Bulk_Density_and_Moisture	db_od	5	decimal	          	10	2				
NULL	dbo	Bulk_Density_and_Moisture	COLEws	6	decimal	          	11	3				
NULL	dbo	Bulk_Density_and_Moisture	w6clod	7	decimal	          	10	1				
NULL	dbo	Bulk_Density_and_Moisture	w10cld	8	decimal	          	10	1				
NULL	dbo	Bulk_Density_and_Moisture	w3cld	9	decimal	          	10	1				
NULL	dbo	Bulk_Density_and_Moisture	w15l2	10	decimal	          	10	1				
NULL	dbo	Bulk_Density_and_Moisture	w15bfm	11	decimal	          	10	1				
NULL	dbo	Bulk_Density_and_Moisture	adod	12	decimal	          	11	3				
NULL	dbo	Bulk_Density_and_Moisture	wrd_ws13	13	decimal	          	11	2				
NULL	dbo	Bulk_Density_and_Moisture	aggstb	14	decimal	          	10	0				
NULL	dbo	Bulk_Density_and_Moisture	cec7_cly	15	decimal	          	11	2				
NULL	dbo	Bulk_Density_and_Moisture	w15cly	16	decimal	          	11	2				
NULL	dbo	Bulk_Density_and_Moisture	c_adod	17	decimal	          	11	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	result_source_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	prep_code	3	varchar	64	          	          				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_3rd_bar_for_calc	4	decimal	          	4	2		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_3rd_bar_source	5	varchar	7	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	particle_density_for_calc	6	decimal	          	4	2		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	particle_density_calc_sour	7	varchar	7	          	          		NOT NULL		
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_third_bar_ws	8	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_oven_dry_ws	9	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_saturated_whole_so	10	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	bulk_density_whole_soil_moist	11	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_percent_gt_2_mm_ws	12	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_percent_gt_250_mm_ws	13	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_75_to_250_mm_ws	14	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_2_to_75_mm_ws	15	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_20_to_75_mm_ws	16	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_5_to_20_mm_ws	17	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_2_to_5_mm_ws	18	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	weight_pct_less_than_2_mm_ws	19	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_gt_2_mm_thirdbarws	20	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_gt_250_mm_thirdbarw	21	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_75_to_250_mm_third	22	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_2_to_75_mm_third_ws	23	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_20_to_75_mm_third_w	24	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_5_to_20_mm_third_ws	25	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_2_to_5_mm_third_ws	26	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_lt_2_mm_third_ws	27	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_usda_sand_ws	28	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	vol_pct_usda_silt_third_bar_ws	29	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	volume_pct_usda_clay_ws	30	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	pct_pores_drained_third_bar_ws	31	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	pct_pores_filled_third_bar_ws	32	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_gt_2_mm_clay_free_ws	33	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_2_75_mm_clay_free_ws	34	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_2_20_mm_clay_free_ws	35	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_sand_clay_free_ws	36	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_silt_clay_free_ws	37	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_tot_clay_clay_free_ws	38	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_vcs_clay_free_lt2mmbase	39	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_cs_clay_free_lt2mmbase	40	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_ms_clay_free_lt2mmbase	41	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_fs_clay_free_lt2mmbase	42	decimal	          	15	3				
NULL	dbo	Calculations_Including_Estimates_And_Default_Values	wt_pct_vfs_clay_free_lt2mmbase	43	decimal	          	15	3				
