TableOnFileGroup,Schema Name,Table Name,COLUMN_NAME2,column_length,Data Element,OrdinalPosition,Data Type,Max Len,Prec,Scale,Identity,NOT NULL,References,Default Value
FG1,dbo,combine_nasis_ncss,longitude_decimal_degrees,25,longitude_decimal_degrees,67,float,          ,53,          ,,,,
FG1,dbo,combine_nasis_ncss,country_key,11,country_key,68,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,state_key,9,state_key,69,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,county_key,10,county_key,70,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,mlra_key,8,mlra_key,71,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,ssa_key,7,ssa_key,72,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,npark_key,9,npark_key,73,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,nforest_key,11,nforest_key,74,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,note,4,note,75,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxfamhahatmatcl,21,samp_taxfamhahatmatcl,76,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxfamhahatmatcl,21,corr_taxfamhahatmatcl,77,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxfamhahatmatcl,20,SSL_taxfamhahatmatcl,78,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,pedobjupdate,12,pedobjupdate,79,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,siteobjupdate,13,siteobjupdate,80,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,physiographic_division,22,physiographic_division,81,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,physiographic_province,22,physiographic_province,82,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,physiographic_section,21,physiographic_section,83,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,local_physiographic_area,24,local_physiographic_area,84,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,geomorphic_setting,18,geomorphic_setting,85,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,upslope_shape,13,upslope_shape,86,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,cross_slope_shape,17,cross_slope_shape,87,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,primary_earth_cover,19,primary_earth_cover,88,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,secondary_earth_cover,21,secondary_earth_cover,89,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,existing_vegetation,19,existing_vegetation,90,varchar,-1,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,parent_material,15,parent_material,91,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,bedrock_kind,12,bedrock_kind,92,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,bedrock_depth,13,bedrock_depth,93,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,bedrock_hardness,16,bedrock_hardness,94,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,bedrock_fracture_interval,25,bedrock_fracture_interval,95,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,surface_fragments,17,surface_fragments,96,varchar,-1,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,slope,5,slope,97,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,elevation,9,elevation,98,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,aspect,6,aspect,99,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,maat,4,maat,100,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,msat,4,msat,101,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,mwat,4,mwat,102,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,map,3,map,103,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,frost_free_days,15,frost_free_days,104,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,drainage_class,14,drainage_class,105,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,slope_length,12,slope_length,106,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,upslope_length,14,upslope_length,107,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,state_physiographic_area,24,state_physiographic_area,108,varchar,255,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,horizontal_datum_name,21,horizontal_datum_name,109,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,latitude_direction,18,latitude_direction,110,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,latitude_degrees,16,latitude_degrees,111,numeric,          ,2,0,,,,
FG1,dbo,combine_nasis_ncss,latitude_minutes,16,latitude_minutes,112,numeric,          ,2,0,,,,
FG1,dbo,combine_nasis_ncss,latitude_seconds,16,latitude_seconds,113,numeric,          ,4,2,,,,
FG1,dbo,combine_nasis_ncss,longitude_direction,19,longitude_direction,114,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,longitude_degrees,17,longitude_degrees,115,numeric,          ,3,0,,,,
FG1,dbo,combine_nasis_ncss,longitude_minutes,17,longitude_minutes,116,numeric,          ,2,0,,,,
FG1,dbo,combine_nasis_ncss,longitude_seconds,17,longitude_seconds,117,numeric,          ,4,2,,,,
FG1,dbo,lab_analysis_procedure,apid,4,apid,1,int,          ,10,0,Y,NOT NULL,,
FG1,dbo,lab_analysis_procedure,procedure_key,13,procedure_key,2,int,          ,10,0,,,,
FG1,dbo,lab_analysis_procedure,requested_anal_name,19,requested_anal_name,3,varchar,240,          ,          ,,,,
FG1,dbo,lab_analysis_procedure,proced_name,11,proced_name,4,varchar,120,          ,          ,,,,
FG1,dbo,lab_analysis_procedure,proced_abbrev,13,proced_abbrev,5,varchar,120,          ,          ,,,,
FG1,dbo,lab_analysis_procedure,proced_desc,11,proced_desc,6,varchar,295,          ,          ,,,,
FG1,dbo,lab_analysis_procedure,SSIR_5_Page,11,SSIR_5_Page,7,int,          ,10,0,,,,
FG1,dbo,lab_analysis_procedure,PDF_pg,6,PDF_pg,8,int,          ,10,0,,,,
FG1,dbo,lab_analysis_procedure,Links_to_SSIR_42_V_5,20,Links_to_SSIR_42_V_5,9,nvarchar,240,          ,          ,,,,
